State,Party
California,D
Colorado,D
Connecticut,D
District of Columbia,D
Delaware,D
MaineSecond,D
Maryland,D
Massachusetts,D
Michigan,D
Minnesota,D
Montana,D
NebraskaFirst,D
Nevada,D
New Hampshire,D
New Jersey,D
New Mexico,D
New York,D
North Carolina,D
Ohio,D
Oregon,D
Pennsylvania,D
Rhode Island,D
Texas,D
Vermont,D
Washington,D
Wisconsin,D
Alabama,R
Alaska,R
Arizona,R
Arkansas,R
Florida,R
Georgia,R
Hawaii,R
Idaho,R
Illinois,R
Indiana,R
Iowa,R
Kansas,R
Kentucky,R
Louisiana,R
Maine,R
MaineFirst,R
Mississippi,R
Missouri,R
Nebraska,R
NebraskaSecond,R
NebraskaThird,R
North Dakota,R
Oklahoma,R
South Carolina,R
South Dakota,R
Tennessee,R
Utah,R
Virginia,R
West Virginia,R
Wyoming,R
