id,name,ec,party,democrat,republican,third,margin,winner
AL,Alabama,9,6,38.1%,60.94%,0.96%,Trump +22.83%,R
AK,Alaska,3,6,41.4%,57.52%,1.08%,Trump +16.12%,R
AZ,Arizona,11,4,47.62%,51.35%,1.03%,Trump +3.72%,R
AR,Arkansas,6,6,34.0%,64.85%,1.15%,Trump +30.86%,R
CA,California,55,1,70.73%,28.14%,1.12%,Biden +42.59%,D
CO,Colorado,9,3,52.81%,46.13%,1.06%,Biden +6.68%,D
CT,Connecticut,7,1,57.41%,41.54%,1.05%,Biden +15.86%,D
DC,District of Columbia,3,1,94.96%,4.04%,1.01%,Biden +90.92%,D
DE,Delaware,3,1,59.05%,39.99%,0.95%,Biden +19.06%,D
FL,Florida,29,4,47.49%,51.51%,1.0%,Trump +4.02%,R
GA,Georgia,16,5,43.84%,55.11%,1.05%,Trump +11.26%,R
HI,Hawaii,4,1,69.87%,29.09%,1.03%,Biden +40.78%,D
ID,Idaho,4,6,29.61%,69.33%,1.06%,Trump +39.72%,R
IL,Illinois,20,1,60.7%,38.22%,1.08%,Biden +22.49%,D
IN,Indiana,11,6,38.49%,60.49%,1.02%,Trump +22.0%,R
IA,Iowa,6,5,43.63%,55.27%,1.1%,Trump +11.64%,R
KS,Kansas,6,6,36.55%,62.41%,1.04%,Trump +25.86%,R
KY,Kentucky,8,6,32.65%,66.27%,1.08%,Trump +33.62%,R
LA,Louisiana,8,6,37.77%,61.2%,1.03%,Trump +23.43%,R
ME,Maine,2,2,53.86%,45.15%,0.99%,Biden +8.71%,D
ME_1,Maine 1st District,1,2,55.88%,43.14%,0.97%,Biden +12.74%,D
ME_2,Maine 2nd District,1,5,44.01%,54.95%,1.04%,Trump +10.95%,R
MD,Maryland,10,1,63.74%,35.3%,0.96%,Biden +28.45%,D
MA,Massachusetts,11,1,67.66%,31.35%,0.99%,Biden +36.31%,D
MI,Michigan,16,3,49.75%,49.32%,0.93%,Biden +0.43%,D
MN,Minnesota,10,2,54.03%,44.93%,1.05%,Biden +9.1%,D
MS,Mississippi,6,6,40.66%,58.33%,1.01%,Trump +17.67%,R
MO,Missouri,10,6,41.06%,57.92%,1.02%,Trump +16.86%,R
MT,Montana,3,6,35.9%,63.05%,1.06%,Trump +27.15%,R
NE,Nebraska,2,6,34.09%,64.91%,1.0%,Trump +30.81%,R
NE_1,Nebraska 1st District,1,6,28.85%,70.17%,0.98%,Trump +41.33%,R
NE_2,Nebraska 2nd District,1,4,46.32%,52.64%,1.04%,Trump +6.32%,R
NE_3,Nebraska 3rd District,1,6,20.69%,78.33%,0.98%,Trump +57.65%,R
NV,Nevada,6,3,50.99%,47.89%,1.12%,Biden +3.1%,D
NH,New Hampshire,4,3,51.35%,47.55%,1.1%,Biden +3.8%,D
NJ,New Jersey,14,1,57.9%,41.09%,1.01%,Biden +16.81%,D
NM,New Mexico,5,2,54.18%,44.82%,1.01%,Biden +9.36%,D
NY,New York,29,1,63.23%,35.76%,1.01%,Biden +27.48%,D
NC,North Carolina,15,4,49.34%,49.63%,1.02%,Trump +0.29%,R
ND,North Dakota,3,6,33.59%,65.46%,0.95%,Trump +31.87%,R
OH,Ohio,18,4,46.71%,52.32%,0.97%,Trump +5.61%,R
OK,Oklahoma,7,6,33.59%,65.36%,1.05%,Trump +31.77%,R
OR,Oregon,7,1,64.61%,34.43%,0.95%,Biden +30.18%,D
PA,Pennsylvania,20,3,50.6%,48.28%,1.12%,Biden +2.32%,D
RI,Rhode Island,4,1,62.62%,36.17%,1.21%,Biden +26.45%,D
SC,South Carolina,9,5,42.44%,56.59%,0.98%,Trump +14.15%,R
SD,South Dakota,3,6,37.29%,61.77%,0.94%,Trump +24.48%,R
TN,Tennessee,11,6,39.84%,59.15%,1.01%,Trump +19.32%,R
TX,Texas,38,5,44.63%,54.34%,1.02%,Trump +9.71%,R
UT,Utah,6,6,38.0%,60.84%,1.16%,Trump +22.85%,R
VT,Vermont,3,1,63.73%,35.22%,1.05%,Biden +28.52%,D
VA,Virginia,13,2,54.25%,44.55%,1.2%,Biden +9.71%,D
WA,Washington,12,1,63.4%,35.54%,1.06%,Biden +27.86%,D
WV,West Virginia,5,6,21.45%,77.58%,0.97%,Trump +56.13%,R
WI,Wisconsin,10,4,49.34%,49.6%,1.05%,Trump +0.26%,R
WY,Wyoming,3,6,21.41%,77.56%,1.03%,Trump +56.16%,R
