State,EC,D Avg.,R Avg.,MOE,Margin LE D,Margin LE R,FRating D,FRating R,Past 5,Updated
Alabama,9,32,48,20,-22.19,22.19,41.8,37.5,"R, R, R, R, R",
Alaska,3,47,43,10,-13.99,13.99,41.8,37.5,"R, R, R, R, R",
Arizona,11,45,47,8,-9.06,9.06,41.8,37.5,"D, R, R, R, R",
Arkansas,6,36,59,5,-23.69,23.69,41.8,37.5,"D, R, R, R, R",
California,55,58,35,7,23.12,-23.12,41.8,37.5,"D, D, D, D, D",
Colorado,9,48,43,9,5.37,-5.37,41.8,37.5,"R, R, R, D, D",
Connecticut,7,50,35,15,17.33,-17.33,41.8,37.5,"D, D, D, D, D",
District of Columbia,3,51,30,19,86.41,-86.41,41.8,37.5,"D, D, D, D, D",
Delaware,3,51,30,19,18.63,-18.63,41.8,37.5,"D, D, D, D, D",
Florida,29,46,50,4,0.88,-0.88,41.8,37.5,"D, R, R, D, D",
Georgia,16,45,52,3,-7.82,7.82,41.8,37.5,"R, R, R, R, R",
Hawaii,4,58,28,14,42.71,-42.71,41.8,37.5,"D, D, D, D, D",
Idaho,4,29,48,23,-31.91,31.91,41.8,37.5,"R, R, R, R, R",
Illinois,20,53,41,6,16.87,-16.87,41.8,37.5,"D, D, D, D, D",
Indiana,11,37,48,15,-10.2,10.2,41.8,37.5,"R, R, R, D, R",
Iowa,6,39,46,15,5.81,-5.81,41.8,37.5,"D, D, R, D, D",
Kansas,6,34,58,8,-21.72,21.72,41.8,37.5,"R, R, R, R, R",
Kentucky,8,37,54,9,-22.69,22.69,41.8,37.5,"D, R, R, R, R",
Louisiana,8,35,50,15,-17.21,17.21,41.8,37.5,"D, R, R, R, R",
Maine,2,46,42,12,15.29,-15.29,41.8,37.5,"D, D, D, D, D",
MaineFirst,1,46,42,12,15.29,-15.29,41.8,37.5,"D, D, D, D, D",
MaineSecond,1,46,42,12,15.29,-15.29,41.8,37.5,"D, D, D, D, D",
Maryland,10,63,27,10,26.08,-26.08,41.8,37.5,"D, D, D, D, D",
Massachusetts,11,56,26,18,23.14,-23.14,41.8,37.5,"D, D, D, D, D",
Michigan,16,47,49,4,9.5,-9.5,41.8,37.5,"D, D, D, D, D",
Minnesota,10,49,39,12,7.69,-7.69,41.8,37.5,"D, D, D, D, D",
Mississippi,6,26,74,0,-11.5,11.5,41.8,37.5,"R, R, R, R, R",
Missouri,10,41,47,12,-9.38,9.38,41.8,37.5,"D, R, R, R, R",
Montana,3,36,46,18,-13.65,13.65,41.8,37.5,"R, R, R, R, R",
Nebraska,2,29,56,15,-21.78,21.78,41.8,37.5,"R, R, R, R, R",
NebraskaFirst,1,29,56,15,-21.78,21.78,41.8,37.5,"R, R, R, R, R",
NebraskaSecond,1,29,56,15,-21.78,21.78,41.8,37.5,"R, R, R, R, R",
NebraskaThird,1,29,56,15,-21.78,21.78,41.8,37.5,"R, R, R, R, R",
Nevada,6,46,46,8,6.68,-6.68,41.8,37.5,"D, R, R, D, D",
New Hampshire,4,49,38,13,5.58,-5.58,41.8,37.5,"D, R, D, D, D",
New Jersey,14,51,40,9,17.81,-17.81,41.8,37.5,"D, D, D, D, D",
New Mexico,5,46,44,10,10.15,-10.15,41.8,37.5,"D, D, R, D, D",
New York,29,51,34,15,28.18,-28.18,41.8,37.5,"D, D, D, D, D",
North Carolina,15,44,44,12,-2.04,2.04,41.8,37.5,"R, R, R, D, R",
North Dakota,3,32,43,25,-19.63,19.63,41.8,37.5,"R, R, R, R, R",
Ohio,18,39,46,15,2.98,-2.98,41.8,37.5,"D, R, R, D, D",
Oklahoma,7,30,60,10,-33.54,33.54,41.8,37.5,"R, R, R, R, R",
Oregon,7,41,34,25,12.09,-12.09,41.8,37.5,"D, D, D, D, D",
Pennsylvania,20,46,40,14,5.39,-5.39,41.8,37.5,"D, D, D, D, D",
Rhode Island,4,52,32,16,27.46,-27.46,41.8,37.5,"D, D, D, D, D",
South Carolina,9,36,47,17,-10.47,10.47,41.8,37.5,"R, R, R, R, R",
South Dakota,3,35,49,16,-18.02,18.02,41.8,37.5,"R, R, R, R, R",
Tennessee,11,34,44,22,-20.4,20.4,41.8,37.5,"D, R, R, R, R",
Texas,38,35,49,16,-15.78,15.78,41.8,37.5,"R, R, R, R, R",
Utah,6,30,40,30,-48.04,48.04,41.8,37.5,"R, R, R, R, R",
Vermont,3,52,26,22,35.6,-35.6,41.8,37.5,"D, D, D, D, D",
Virginia,13,48,42,10,3.87,-3.87,41.8,37.5,"R, R, R, D, D",
Washington,12,55,39,6,14.87,-14.87,41.8,37.5,"D, D, D, D, D",
West Virginia,5,28,60,12,-26.76,26.76,41.8,37.5,"D, R, R, R, R",
Wisconsin,10,49,41,10,6.94,-6.94,41.8,37.5,"D, D, D, D, D",
Wyoming,3,20,58,22,-40.82,40.82,41.8,37.5,"R, R, R, R, R",
