name,ec,margin,winner
Alabama,9,Trump +22.22%,R
Alaska,3,Biden +2.73%,D
Arizona,11,Trump +3.55%,R
Arkansas,6,Trump +25.56%,R
California,55,Biden +28.49%,D
Colorado,9,Biden +6.3%,D
Connecticut,7,Biden +18.79%,D
District of Columbia,3,Biden +78.29%,D
Delaware,3,Biden +27.15%,D
Florida,29,Trump +2.89%,R
Georgia,16,Trump +10.01%,R
Hawaii,4,Biden +35.38%,D
Idaho,4,Trump +25.99%,R
Illinois,20,Biden +16.17%,D
Indiana,11,Trump +13.34%,R
Iowa,6,Trump +7.26%,R
Kansas,6,Trump +27.46%,R
Kentucky,8,Trump +20.29%,R
Louisiana,8,Trump +19.11%,R
Maine,2,Biden +5.7%,D
Maine 1st District,1,Biden +16.89%,D
Maine 2nd District,1,Biden +6.35%,D
Maryland,10,Biden +44.4%,D
Massachusetts,11,Biden +36.5%,D
Michigan,16,Biden +0.55%,D
Minnesota,10,Biden +13.07%,D
Mississippi,6,Trump +46.39%,R
Missouri,10,Trump +7.53%,R
Montana,3,Trump +14.75%,R
Nebraska,2,Trump +33.65%,R
Nebraska 1st District,1,Trump +32.79%,R
Nebraska 2nd District,1,Trump +6.26%,R
Nebraska 3rd District,1,Trump +32.35%,R
Nevada,6,Biden +1.32%,D
New Hampshire,4,Biden +15.49%,D
New Jersey,14,Biden +12.26%,D
New Mexico,5,Biden +3.0%,D
New York,29,Biden +21.34%,D
North Carolina,15,Trump +1.71%,R
North Dakota,3,Trump +15.77%,R
Ohio,18,Trump +7.21%,R
Oklahoma,7,Trump +33.45%,R
Oregon,7,Biden +9.93%,D
Pennsylvania,20,Biden +8.7%,D
Rhode Island,4,Biden +26.05%,D
South Carolina,9,Trump +16.28%,R
South Dakota,3,Trump +18.76%,R
Tennessee,11,Trump +13.47%,R
Texas,38,Trump +19.02%,R
Utah,6,Trump +14.37%,R
Vermont,3,Biden +33.84%,D
Virginia,13,Biden +6.54%,D
Washington,12,Biden +17.7%,D
West Virginia,5,Trump +38.28%,R
Wisconsin,10,Biden +10.29%,D
Wyoming,3,Trump +47.86%,R
282,256
