name,ec,margin,winner
Alabama,9,Trump +19.77%,R
Alaska,3,Biden +2.68%,D
Arizona,11,Trump +3.26%,R
Arkansas,6,Trump +23.93%,R
California,55,Biden +25.95%,D
Colorado,9,Biden +5.58%,D
Connecticut,7,Biden +19.18%,D
District of Columbia,3,Biden +78.52%,D
Delaware,3,Biden +29.53%,D
Florida,29,Trump +3.57%,R
Georgia,16,Trump +7.14%,R
Hawaii,4,Biden +36.83%,D
Idaho,4,Trump +26.9%,R
Illinois,20,Biden +13.57%,D
Indiana,11,Trump +12.54%,R
Iowa,6,Trump +10.02%,R
Kansas,6,Trump +27.29%,R
Kentucky,8,Trump +19.3%,R
Louisiana,8,Trump +19.27%,R
Maine,2,Biden +6.81%,D
Maine 1st District,1,Biden +17.46%,D
Maine 2nd District,1,Biden +6.02%,D
Maryland,10,Biden +41.33%,D
Massachusetts,11,Biden +38.14%,D
Michigan,16,Trump +1.75%,R
Minnesota,10,Biden +13.58%,D
Mississippi,6,Trump +47.99%,R
Missouri,10,Trump +7.45%,R
Montana,3,Trump +12.93%,R
Nebraska,2,Trump +33.47%,R
Nebraska 1st District,1,Trump +32.52%,R
Nebraska 2nd District,1,Trump +5.29%,R
Nebraska 3rd District,1,Trump +31.25%,R
Nevada,6,Biden +0.62%,D
New Hampshire,4,Biden +13.64%,D
New Jersey,14,Biden +13.64%,D
New Mexico,5,Biden +5.38%,D
New York,29,Biden +22.2%,D
North Carolina,15,Trump +0.36%,R
North Dakota,3,Trump +16.21%,R
Ohio,18,Trump +6.64%,R
Oklahoma,7,Trump +35.26%,R
Oregon,7,Biden +11.2%,D
Pennsylvania,20,Biden +9.64%,D
Rhode Island,4,Biden +26.44%,D
South Carolina,9,Trump +13.74%,R
South Dakota,3,Trump +16.97%,R
Tennessee,11,Trump +14.18%,R
Texas,38,Trump +19.69%,R
Utah,6,Trump +15.45%,R
Vermont,3,Biden +33.96%,D
Virginia,13,Biden +7.47%,D
Washington,12,Biden +19.95%,D
West Virginia,5,Trump +35.22%,R
Wisconsin,10,Biden +9.58%,D
Wyoming,3,Trump +49.61%,R
266,272
