name,ec,margin,winner
Alabama,9,Trump +17.04%,R
Alaska,3,Trump +7.55%,R
Arizona,11,Biden +2.3%,D
Arkansas,6,Trump +3.39%,R
California,55,Biden +33.97%,D
Colorado,9,Biden +16.61%,D
Connecticut,7,Biden +26.33%,D
District of Columbia,3,Biden +88.74%,D
Delaware,3,Biden +22.78%,D
Florida,29,Biden +6.2%,D
Georgia,16,Trump +4.08%,R
Hawaii,4,Biden +40.96%,D
Idaho,4,Trump +40.06%,R
Illinois,20,Biden +21.73%,D
Indiana,11,Trump +11.55%,R
Iowa,6,Biden +1.75%,D
Kansas,6,Trump +12.74%,R
Kentucky,8,Trump +19.55%,R
Louisiana,8,Trump +20.55%,R
Maine,2,Biden +15.45%,D
Maine 1st District,1,Biden +25.55%,D
Maine 2nd District,1,Biden +6.0%,D
Maryland,10,Biden +28.62%,D
Massachusetts,11,Biden +36.46%,D
Michigan,16,Biden +9.91%,D
Minnesota,10,Biden +10.9%,D
Mississippi,6,Trump +12.25%,R
Missouri,10,Trump +6.57%,R
Montana,3,Trump +10.32%,R
Nebraska,2,Trump +29.68%,R
Nebraska 1st District,1,Trump +41.91%,R
Nebraska 2nd District,1,Biden +5.22%,D
Nebraska 3rd District,1,Trump +56.62%,R
Nevada,6,Biden +7.51%,D
New Hampshire,4,Biden +9.24%,D
New Jersey,14,Biden +24.16%,D
New Mexico,5,Biden +17.9%,D
New York,29,Biden +29.69%,D
North Carolina,15,Biden +3.23%,D
North Dakota,3,Trump +17.67%,R
Ohio,18,Biden +1.54%,D
Oklahoma,7,Trump +26.76%,R
Oregon,7,Biden +30.16%,D
Pennsylvania,20,Biden +7.88%,D
Rhode Island,4,Biden +26.5%,D
South Carolina,9,Trump +8.17%,R
South Dakota,3,Trump +22.21%,R
Tennessee,11,Trump +13.33%,R
Texas,38,Trump +0.79%,R
Utah,6,Trump +10.61%,R
Vermont,3,Biden +26.96%,D
Virginia,13,Trump +11.28%,R
Washington,12,Biden +31.21%,D
West Virginia,5,Trump +54.61%,R
Wisconsin,10,Biden +8.17%,D
Wyoming,3,Trump +55.1%,R
346,192
