name,ec,margin,winner
Alabama,9,Trump +21.59%,R
Alaska,3,Trump +9.72%,R
Arizona,11,Biden +5.49%,D
Arkansas,6,Trump +3.93%,R
California,55,Biden +36.02%,D
Colorado,9,Biden +16.34%,D
Connecticut,7,Biden +28.3%,D
District of Columbia,3,Biden +89.45%,D
Delaware,3,Biden +21.89%,D
Florida,29,Biden +5.72%,D
Georgia,16,Trump +1.23%,R
Hawaii,4,Biden +41.84%,D
Idaho,4,Trump +37.58%,R
Illinois,20,Biden +23.26%,D
Indiana,11,Trump +18.13%,R
Iowa,6,Trump +2.07%,R
Kansas,6,Trump +12.54%,R
Kentucky,8,Trump +16.82%,R
Louisiana,8,Trump +22.93%,R
Maine,2,Biden +16.35%,D
Maine 1st District,1,Biden +24.47%,D
Maine 2nd District,1,Biden +4.42%,D
Maryland,10,Biden +26.53%,D
Massachusetts,11,Biden +38.64%,D
Michigan,16,Biden +8.57%,D
Minnesota,10,Biden +6.79%,D
Mississippi,6,Trump +13.31%,R
Missouri,10,Trump +9.26%,R
Montana,3,Trump +8.86%,R
Nebraska,2,Trump +29.91%,R
Nebraska 1st District,1,Trump +39.38%,R
Nebraska 2nd District,1,Biden +8.99%,D
Nebraska 3rd District,1,Trump +55.06%,R
Nevada,6,Biden +8.91%,D
New Hampshire,4,Biden +11.44%,D
New Jersey,14,Biden +24.46%,D
New Mexico,5,Biden +18.06%,D
New York,29,Biden +32.26%,D
North Carolina,15,Biden +3.73%,D
North Dakota,3,Trump +19.65%,R
Ohio,18,Biden +0.69%,D
Oklahoma,7,Trump +29.18%,R
Oregon,7,Biden +28.13%,D
Pennsylvania,20,Biden +10.53%,D
Rhode Island,4,Biden +25.19%,D
South Carolina,9,Trump +8.64%,R
South Dakota,3,Trump +21.62%,R
Tennessee,11,Trump +15.35%,R
Texas,38,Trump +3.66%,R
Utah,6,Trump +15.22%,R
Vermont,3,Biden +28.53%,D
Virginia,13,Biden +12.37%,D
Washington,12,Biden +33.23%,D
West Virginia,5,Trump +57.16%,R
Wisconsin,10,Biden +7.83%,D
Wyoming,3,Trump +53.1%,R
353,185
